timestep_superordinate_dispatch,region_dispatch,technology,carrier,variable,value
20th < 2025,East,heatpump < ground < individual,none,capaConv,9.0
20th < 2030,East,heatpump < ground < individual,none,capaConv,9.0
30th < 2035,East,heatpump < ground < individual,none,capaConv,9.0
30th < 2040,East,heatpump < ground < individual,none,capaConv,9.0
10th < 2020,West,heatpump < ground < individual,none,capaConv,9.0
20th < 2025,West,heatpump < ground < individual,none,capaConv,9.0
20th < 2030,West,heatpump < ground < individual,none,capaConv,9.0
30th < 2035,West,heatpump < ground < individual,none,capaConv,9.0
30th < 2040,West,heatpump < ground < individual,none,capaConv,9.0
10th < 2020,East,heatpump < ground < individual,none,commCapaConv,9.0
20th < 2025,East,heatpump < ground < individual,none,commCapaConv,9.0
20th < 2030,East,heatpump < ground < individual,none,commCapaConv,9.0
30th < 2035,East,heatpump < ground < individual,none,commCapaConv,9.0
30th < 2040,East,heatpump < ground < individual,none,commCapaConv,9.0
10th < 2020,West,heatpump < ground < individual,none,commCapaConv,9.0
20th < 2025,West,heatpump < ground < individual,none,commCapaConv,9.0
20th < 2030,West,heatpump < ground < individual,none,commCapaConv,9.0
30th < 2035,West,heatpump < ground < individual,none,commCapaConv,9.0
30th < 2040,West,heatpump < ground < individual,none,commCapaConv,9.0
20th < 2025,East,gasPlant < ocgt < hydrogenFueled,none,expConv,0.0
20th < 2030,East,gasPlant < ocgt < hydrogenFueled,none,expConv,0.0
30th < 2035,East,gasPlant < ocgt < hydrogenFueled,none,expConv,8.45804060384329
30th < 2040,East,gasPlant < ocgt < hydrogenFueled,none,expConv,89.75984842220434
20th < 2025,West,gasPlant < ocgt < hydrogenFueled,none,expConv,0.0
20th < 2030,West,gasPlant < ocgt < hydrogenFueled,none,expConv,0.0
30th < 2035,West,gasPlant < ocgt < hydrogenFueled,none,expConv,9.694078886182343
30th < 2040,West,gasPlant < ocgt < hydrogenFueled,none,expConv,54.19006651012239
20th < 2025,East,gasPlant < ocgt < hydrogenFueled,none,capaConv,0.0
20th < 2030,East,gasPlant < ocgt < hydrogenFueled,none,capaConv,0.0
30th < 2035,East,gasPlant < ocgt < hydrogenFueled,none,capaConv,8.45804060384329
30th < 2040,East,gasPlant < ocgt < hydrogenFueled,none,capaConv,98.21788902604763
20th < 2025,West,gasPlant < ocgt < hydrogenFueled,none,capaConv,0.0
20th < 2030,West,gasPlant < ocgt < hydrogenFueled,none,capaConv,0.0
30th < 2035,West,gasPlant < ocgt < hydrogenFueled,none,capaConv,9.694078886182343
30th < 2040,West,gasPlant < ocgt < hydrogenFueled,none,capaConv,63.88414539630474
20th < 2025,East,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,0.0
20th < 2030,East,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,0.0
30th < 2035,East,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,8.45804060384329
30th < 2040,East,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,98.21788902604763
20th < 2025,West,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,0.0
20th < 2030,West,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,0.0
30th < 2035,West,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,9.694078886182343
30th < 2040,West,gasPlant < ocgt < hydrogenFueled,none,commCapaConv,63.88414539630474
10th < 2020,West,hydro,electricity,capaStOut,8.0
20th < 2025,West,hydro,electricity,capaStOut,8.0
20th < 2030,West,hydro,electricity,capaStOut,8.0
30th < 2035,West,hydro,electricity,capaStOut,8.0
30th < 2040,West,hydro,electricity,capaStOut,8.0
10th < 2020,West,hydro,electricity,capaStSize,56.0
20th < 2025,West,hydro,electricity,capaStSize,56.0
20th < 2030,West,hydro,electricity,capaStSize,56.0
30th < 2035,West,hydro,electricity,capaStSize,56.0
30th < 2040,West,hydro,electricity,capaStSize,56.0
10th < 2020,West,hydro,electricity,commCapaStOut,8.0
20th < 2025,West,hydro,electricity,commCapaStOut,8.0
20th < 2030,West,hydro,electricity,commCapaStOut,8.0
30th < 2035,West,hydro,electricity,commCapaStOut,8.0
30th < 2040,West,hydro,electricity,commCapaStOut,8.0
10th < 2020,West,hydro,electricity,commCapaStSize,56.00000000000001
20th < 2025,West,hydro,electricity,commCapaStSize,56.00000000000001
20th < 2030,West,hydro,electricity,commCapaStSize,56.00000000000001
30th < 2035,West,hydro,electricity,commCapaStSize,56.00000000000001
30th < 2040,West,hydro,electricity,commCapaStSize,56.00000000000001
10th < 2020,West,hydro,electricity,capaStIn,8.0
20th < 2025,West,hydro,electricity,capaStIn,8.0
20th < 2030,West,hydro,electricity,capaStIn,8.0
30th < 2035,West,hydro,electricity,capaStIn,8.0
30th < 2040,West,hydro,electricity,capaStIn,8.0
10th < 2020,West,hydro,electricity,commCapaStIn,8.0
20th < 2025,West,hydro,electricity,commCapaStIn,8.0
20th < 2030,West,hydro,electricity,commCapaStIn,8.0
30th < 2035,West,hydro,electricity,commCapaStIn,8.0
30th < 2040,West,hydro,electricity,commCapaStIn,8.0
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,none,expConv,0.0
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,none,expConv,0.0
10th < 2020,West < WestNorth,solar < rooftop < solarThermal,none,expConv,0.0
10th < 2020,West < WestSouth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2025,West < WestNorth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2025,West < WestSouth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2030,East < EastSouth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2030,West < WestNorth,solar < rooftop < solarThermal,none,expConv,0.0
20th < 2030,West < WestSouth,solar < rooftop < solarThermal,none,expConv,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,none,expConv,0.0
30th < 2035,East < EastSouth,solar < rooftop < solarThermal,none,expConv,0.0
30th < 2035,West < WestNorth,solar < rooftop < solarThermal,none,expConv,0.0
30th < 2035,West < WestSouth,solar < rooftop < solarThermal,none,expConv,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,none,expConv,41.71325964843176
30th < 2040,East < EastSouth,solar < rooftop < solarThermal,none,expConv,104.15494630511697
30th < 2040,West < WestNorth,solar < rooftop < solarThermal,none,expConv,10.959831878447018
30th < 2040,West < WestSouth,solar < rooftop < solarThermal,none,expConv,27.39752072837929
10th < 2020,East < EastNorth,solar < rooftop < solarThermal,none,capaConv,0.0
20th < 2025,East < EastNorth,solar < rooftop < solarThermal,none,capaConv,0.0
20th < 2030,East < EastNorth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2035,East < EastNorth,solar < rooftop < solarThermal,none,capaConv,0.0
30th < 2040,East < EastNorth,solar < rooftop < solarThermal,none,capaConv,41.71325964843176
10th < 2020,East < EastSouth,solar < rooftop < solarThermal,none,capaConv,0.0
20th < 2025,East < EastSouth,solar < rooftop < solarThermal,none,capaConv,0.0
